"","CollectionSite","DataUpload?(Initial)","ProcessedBy","DatePlanted","PlanterType","CollectionDate","Species","TagID","Condition","Mass(g)","Width(mm)","totallength(cm)","plumulelength(cm)","hypocotyllength(cm)","HypocotylColor","Roots(Y/N)","Float(Y/N)","NOTES","PartofSomething(C=CommunityEvent,N=nothing,E=experiment,MIC=mangrovesintheclassroomorstormstrongplant)","PlantName","CollectionDateParsed","CollectionYear","CollectionMonth","CollectionDay","Island","Lat","Long"
"1252","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","145","S",13.16,"9.45","27.4","1.1","26.4","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1253","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","146","S",22.48,"11.42","34.9","1.6","33.3","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1254","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","147","S",15.25,"11.31","25.6","1.4","24.4","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1255","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","148","S",9.39,"9.23","21.4","0.7","20.6","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1256","Oasis Cove","LP","AJH, AND, KWG",NA,"3'' TP","08-23-22","RHMA","2100","H",9.25,"10.2","19.1","1.1","18","G","N","Y",NA,"N",NA,2022-08-23,"2022","08","23","St. Thomas",18.320665,-64.867323
"1257","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","150","H",11.2,"10.28","22.4","1.3","21.1","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1258","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","151","S",17.84,"10.01","32.9","1.2, 1.1","31.8","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1259","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","152","S",11.91,"8.7","29.9","1.6","28.3","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1260","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","153","S",17.54,"12.37","25.6","1.4","24.2","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1261","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","154","H",26.52,"12.58","33.1","1.6","31.7","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1262","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","155","H",18.51,"11.98","29.9","1.6","28.3","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1263","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","156","S",12.25,"9.89","20.3","N/A","N/A","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1264","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","157","S",10.57,"8.65","25.7","1.5","25.2","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1265","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","158","S",7.66,"7.78","21","1.1","20.2","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1266","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","159","S",13.1,"10.12","29.1","1.2","27.9","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1267","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","160","S",11.8,"10.38","21.3","1.8","20.6","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1268","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","161","S",11.45,"11.5","19.2","1.1","18.3","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1269","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","162","S",9.94,"9.55","22","1.4","20.8","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1270","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","163","S",11.36,"10.59","25.2","1.5","23.8","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1271","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","164","S",14.67,"10.2","28.4","1.3","27.3","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1272","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","165","S",6.36,"8.61","17","N/A","17","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1273","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","166","S",13.2,"9.96","25.7","1.7","25.2","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1274","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","167","S",7.47,"10.64","13.4","N/A","13.4","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1275","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","168","H",18.57,"12.1","27.5","1.5","26","Br","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1276","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","169","S",11.34,"10.21","24.3","0.4","23.9","OlGr","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1277","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","170","H",12.96,"10.31","24.2","1.3","23","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1278","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","171","H",16.22,"10.68","31.2","1.5","29.8","OlGr","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1279","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","172","H",8.28,"9.51","18.6","1.2","17.7","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1280","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","173","H",13.46,"10.46","27.2","1.6","25.7","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1281","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","174","H",5.85,"8.74","16.2","0.8","15.4","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1282","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","175","H",22.64,"11.32","37.2","1.5","35.8","OlGr","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1283","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","176","H",17.87,"11.13","27.2","N/A","27.2","OlGr","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1284","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","177","H",14.87,"10.03","28.2","1.4","26.8","BrGr","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1285","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","178","S",9.63,"8.55","24.2","N/A","24.2","Br/Bl","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1286","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","179","H",11.15,"10.52","22.1","1.6","20.8","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1287","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","180","H",17.75,"11.52","29.3","N/A","29.3","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1288","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","181","H",16.4,"11.19","26","1.5","24.5","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1289","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","182","H",16.58,"11.35","26.5","1.4","25.4","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1290","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","183","H",15.03,"11.02","25.4","1.4","24","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1291","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","184","H",15.06,"10.16","30.2","1.5","28.8","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1292","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","185","H",15.84,"11.83","24.7","1.3","23.5","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1293","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","186","S",18.67,"11.14","30.5","1.3","29.3","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1294","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","187","H",12.51,"10.19","24.1","N/A","24.1","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1295","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","188","H",15.71,"11.22","25","1.5","23.5","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1296","Oasis Cove","HH","AND, KWG, ZR","05-20-21","N/A","05/07/2021","RHMA","149","H",13.05,"11.13","23.5","1.3","22.3","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1297","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","190","H",14.72,"10.75","26.8","1.7","25.2","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1298","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","191","H",18.49,"11.89","28.6","1.5","27.1","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1299","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","192","H",17.51,"12.94","23.4","1.4","22","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1300","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","193","H",23.14,"12.43","31.4","0.4","31","OlGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1301","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","194","H",18.71,"11.61","31.8","1.5","30.4","OlGr","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1302","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","195","H",15.68,"10.42","30.5","1.3","29.2","OlGr","N/A","N",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1303","Oasis Cove","LU","Lee'ani","9/28/24","CC","09/11/2024","RHMA","6267",NA,12,NA,NA,NA,"25.1",NA,NA,NA,NA,"VICM Day of Play","Cupcake",2024-09-11,"2024","09","11","St. Thomas",18.320665,-64.867323
"1304","Oasis Cove","LU","LU","9/28/24","CC","09/11/2024","RHMA","6268",NA,14.26,NA,NA,NA,"26",NA,NA,NA,NA,"VICM Day of Play","plantie",2024-09-11,"2024","09","11","St. Thomas",18.320665,-64.867323
"1305","Oasis Cove","LU","LU","9/28/24","CC","09/11/2024","RHMA","6269",NA,16.26,NA,NA,NA,"31",NA,NA,NA,NA,"VICM Day of Play","cinna",2024-09-11,"2024","09","11","St. Thomas",18.320665,-64.867323
"1306","Oasis Cove","LU","LU","9/28/24","CC","09/11/2024","RHMA","6270",NA,18.27,NA,NA,NA,"27",NA,NA,NA,NA,"VICM Day of Play","nayelis",2024-09-11,"2024","09","11","St. Thomas",18.320665,-64.867323
"1307","Oasis Cove","LU","LU","9/28/24","CC","09/11/2024","RHMA","6271",NA,14.24,NA,NA,NA,"27",NA,NA,NA,NA,"VICM Day of Play","encanto",2024-09-11,"2024","09","11","St. Thomas",18.320665,-64.867323
"1308","Oasis Cove","ZDB","AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2172","H",23.78,"12.7","32.6","1.7","30.9","G","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1309","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2173","H",14.17,"11.5","24.6","1.3","23.3","G","Y","Y",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1310","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2174","H",16,"11.6","26.7","1.4","25.3","G","Y","Y",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1311","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2175","H",21.92,"14","25.6","1.3","24.3","G","Y","Y",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1312","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2176","H",17,"11.9","26.2","1.1","25.1","G","Y","Y",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1313","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2177","H",25.05,"12.8","33.7","1.4","32.3","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1314","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2178","H",24.48,"13.9","28.7","1.6","27.1","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1315","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2179","H",22.12,"12.4","29.6","1.5","28.1","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1316","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2180","H",20.48,"12.5","27","1.7","25.3","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1317","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2181","H",24.16,"13.7","30.6","1.1","29.5","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1318","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2182","H",17.04,"12.3","23","1.1","21.9","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1319","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2183","H",17.79,"12.2","25.9","1.3","24.6","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1320","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2184","H",20.7,"13.6","26.3","1.6","24.7","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1321","Oasis Cove","KH","AND, KWG, ZR",NA,"3""","09/08/2022","RHMA","2185","H",19.28,"12.3","25.7","1.5","24.2","G","Y","N",NA,"N",NA,2022-09-08,"2022","09","08","St. Thomas",18.320665,-64.867323
"1322","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2125","H",29.88,"14.1","33.9","1.7","32.2","G","N","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1323","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2126","H",27.63,"13.1","31.5","1.5","30","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1324","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2127","H",21,"13.4","28.1","1.5","26.6","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1325","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2128","H",12.9,"11.8","18.2","1.2","17","G","N","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1326","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2129","H",17.58,"12.2","24.1","1.6","22.5","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1327","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2130","H",11.42,"0.9","24.2","1.3","22.9","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1328","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2131","H",16.03,"12.2","25.7","1.5","24.2","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1329","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2132","H",22.47,"13.3","29","1.5","27.5","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1330","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2133","H",16.11,"11","25.9","1.4","24.5","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1331","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2134","H",13.08,"11.2","22","1.8","20.2","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1332","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2135","H",20.79,"12.2","27.7","1.7","26","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1333","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2136","H",26.2,"13.5","31.2","1.9","29.3","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1334","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2137","H",16.73,"12.1","24.6","1.6","23","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1335","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2138","H",14.5,"0.94","28.7","1.5","27.2","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1336","Oasis Cove","SC","AND, KWG","5/20/2021","N/A","05/07/2021","RHMA","189","H",7.36,"8.5","20.3","0.8","19.5","BrGr","N/A","Y",NA,"N",NA,2021-05-07,"2021","05","07","St. Thomas",18.320665,-64.867323
"1337","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2140","H",15.43,"11.1","25.1","1.2","23.9","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1338","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2141","H",21.53,"12.7","26.2","1.6","24.6","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1339","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2142","H",13.11,"12.2","18.8","1.5","17.3","G","N","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1340","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2143","H",12.71,"10.2","23.4","1.3","22.1","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1341","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2144","H",14.12,"11.5","22.1","1.5","20.6","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1342","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2145","H",15.66,"10","27.9","1.7","26.2","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1343","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2146","H",17.27,"12.7","23.7","1.3","22.4","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1344","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2147","H",14.95,"10.9","25.2","1.6","23.6","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1345","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2148","H",16.93,"11.9","23.3","1.4","21.9","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1346","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2149","H",21.55,"11","31","1.7","29.3","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1347","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/01/2022","RHMA","2150","H",9.23,"8.9","20","1","19","G","Y","N",NA,"N",NA,2022-09-01,"2022","09","01","St. Thomas",18.320665,-64.867323
"1348","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2151","H",26.47,"12.2","34","1.9","32.1","G","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1349","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2152","H",33.85,"13.3","37.5","2.2","35.3","P","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1350","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2153","H",25.73,"13","31","1.7","29.3","P","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1351","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2154","H",24.14,"11.7","31.6","1.9","29.7","G/B","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1352","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2155","H",19.94,"10.5","32.6","1.7","30.9","G/B","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1353","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2156","H",24.89,"12","36","1.5","34.5","G","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1354","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2157","H",22.43,"12","32.5","1.6","30.9","G","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1355","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2158","H",24.16,"13.1","32.1","1.7","30.4","G","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1356","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2159","H",25.52,"13","30.2","1.5","28.7","G","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1357","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2160","H",18.66,"11.2","29.4","1.3","28.1","G","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1358","Oasis Cove",NA,"AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2161","H",22.92,"11.6","33.7","1.9","31.8","G/B","Y","N",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1359","Oasis Cove","ZDB","AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2162","H",13,"8.3","28.5","1.5","27","G","Y","Y",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1360","Oasis Cove","ZDB","AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2163","H",19.95,"11","33","1.8","31.2","G","Y","Y",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1361","Oasis Cove","ZDB","AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2164","H",31.8,"14","33","1.8","31.2","G/B","Y","Y",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1362","Oasis Cove","ZDB","AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2165","H",21.65,"11.5","32.7","1.6","31.1","G","Y","Y",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
"1363","Oasis Cove","ZDB","AJH, AND, KWG",NA,"3""","09/02/2022","RHMA","2166","H",23.09,"13.3","26","1.2","24.8","G","Y","Y",NA,"N",NA,2022-09-02,"2022","09","02","St. Thomas",18.320665,-64.867323
